date,Hyundai_avg_sentiment,Open,High,Low,Close,Adj Close,Volume
2021-08-02,-0.8960508070886135,218000.0,220500.0,217000.0,220000.0,193353.640625,676544
2021-08-03,0.30761183382710444,219000.0,223500.0,218000.0,223500.0,196429.703125,775231
2021-08-04,0.7513517942279577,224000.0,225000.0,222500.0,225000.0,197748.046875,542319
2021-08-06,-0.002178855938836932,224500.0,225000.0,222500.0,222500.0,195550.84375,384056
2021-08-09,0.9567052490019705,220500.0,222500.0,220000.0,221000.0,194232.53125,582236
2021-08-10,0.21746771689504385,220500.0,221000.0,218500.0,219000.0,192474.75,497715
2021-08-11,0.3672225915749247,219000.0,220500.0,218000.0,218500.0,192035.3125,490442
2021-08-12,0.16533779965247958,220000.0,224000.0,219000.0,219000.0,192474.75,862826
2021-08-13,-0.3489534923962007,221500.0,221500.0,214000.0,217000.0,190717.0,864375
2021-08-17,0.47168593263874453,216000.0,217000.0,211000.0,213000.0,187201.5,863610
2021-08-18,-0.9852675017900765,211000.0,214000.0,209000.0,212500.0,186762.03125,671920
2021-08-19,0.9692211571149528,212500.0,212500.0,205000.0,206500.0,181488.78125,1180734
2021-08-20,0.3171541530561323,207000.0,208000.0,200000.0,201500.0,177094.375,1310974
2021-08-23,0.323632968046392,203000.0,206000.0,201500.0,204000.0,179291.5625,848219
2021-08-24,0.03362307949767759,206000.0,211000.0,206000.0,209500.0,184125.375,745430
2021-08-25,0.34561083903342177,210000.0,212500.0,207500.0,209500.0,184125.375,477019
2021-08-27,0.9974440349033102,209000.0,209500.0,205000.0,208500.0,183246.515625,502218
2021-08-30,-0.004408756271004677,211000.0,212500.0,210000.0,210000.0,184564.828125,409963
2021-08-31,-0.010552856954745948,210000.0,212500.0,208000.0,212500.0,186762.03125,777103
2021-09-01,0.5113905783260374,214000.0,218500.0,213500.0,215000.0,188959.25,855937
2021-09-02,0.09619013855366834,214000.0,215000.0,210000.0,211500.0,185883.15625,656283
2021-09-03,-0.917524476768449,213000.0,215500.0,212000.0,214500.0,188519.8125,739961
2021-09-06,0.6689657322713174,214500.0,216000.0,213500.0,215000.0,188959.25,389587
2021-09-07,-0.08892127452418208,214500.0,214500.0,211500.0,212500.0,186762.03125,434105
2021-09-08,0.9310649931430817,210500.0,214500.0,210000.0,213000.0,187201.5,593084
2021-09-09,0.7204871225403622,212500.0,212500.0,208000.0,208500.0,183246.515625,780270
2021-09-10,-0.0033123516477644444,208500.0,209500.0,204000.0,206500.0,181488.78125,678308
2021-09-13,0.46568729107578594,206500.0,206500.0,204000.0,205000.0,180170.421875,590609
2021-09-14,-0.10099858495717247,206500.0,211500.0,206000.0,209000.0,183685.953125,721080
2021-09-15,0.8043811280901233,208000.0,211500.0,208000.0,209500.0,184125.375,472855
2021-09-16,-0.1872598681851135,210000.0,211000.0,206500.0,208000.0,182807.09375,416275
2021-09-17,-0.28827272541821003,208000.0,210000.0,207000.0,209000.0,183685.953125,698398
2021-09-23,-0.026629405561834574,205000.0,209000.0,204500.0,208500.0,183246.515625,525020
2021-09-24,-0.30563914868980646,209500.0,210500.0,206000.0,207000.0,181928.203125,413926
2021-09-27,0.9013982675969601,205000.0,206000.0,203500.0,204000.0,179291.5625,584898
2021-09-28,-0.32795286178588867,204000.0,204000.0,200500.0,201500.0,177094.375,719631
2021-09-29,-0.013742351904511452,197500.0,202000.0,197500.0,201500.0,177094.375,934463
2021-09-30,0.0023427304258802906,200000.0,201000.0,199000.0,200000.0,175776.046875,594666
2021-10-01,-0.9789360454306006,198000.0,199000.0,192000.0,193500.0,170063.328125,1182422
2021-10-05,0.991589548997581,191000.0,195000.0,189000.0,193500.0,170063.328125,1056472
2021-10-06,0.9778520668623969,195000.0,197500.0,192500.0,194000.0,170502.75,913916
2021-10-07,0.1080751210451126,194500.0,203000.0,194500.0,201000.0,176654.9375,1066226
2021-10-08,0.4479463101830333,203500.0,206500.0,202500.0,205000.0,180170.421875,993219
2021-10-12,0.9668235592544079,205000.0,206500.0,202000.0,204500.0,179731.0,820163
2021-10-13,-0.9958810296375304,206500.0,211500.0,206500.0,211000.0,185443.734375,1169924
2021-10-14,0.007765933871269226,211500.0,212000.0,208000.0,209000.0,183685.953125,863110
2021-10-15,0.12882421747781336,210500.0,211500.0,208000.0,208500.0,183246.515625,530328
2021-10-18,0.16226100553758444,208000.0,210500.0,205000.0,209500.0,184125.375,607227
2021-10-19,0.9800877487286925,210500.0,212000.0,208000.0,209000.0,183685.953125,428739
2021-10-20,0.9821817949414253,210000.0,211000.0,208000.0,209000.0,183685.953125,472664
2021-10-21,0.9776111381943338,209500.0,211000.0,206000.0,207500.0,182367.625,775441
2021-10-22,0.9073640133719891,207000.0,209500.0,206000.0,207500.0,182367.625,362676
2021-10-25,0.4829703365851726,207500.0,212000.0,206000.0,211000.0,185443.734375,649860
2021-10-26,-0.9909355933777988,213000.0,214500.0,209000.0,213500.0,187640.90625,782736
2021-10-27,0.4020504412862162,214500.0,215000.0,212500.0,213500.0,187640.90625,606729
2021-10-28,-0.19730826162932708,213000.0,214000.0,209500.0,210000.0,184564.828125,633732
2021-10-29,0.32258788325513404,211500.0,212500.0,206500.0,208000.0,182807.09375,667275
2021-11-02,0.8342349630547687,208000.0,211500.0,207500.0,210000.0,184564.828125,417645
2021-11-03,0.8227349619070689,211000.0,212000.0,207000.0,208500.0,183246.515625,476081
2021-11-04,-0.023403282277286053,211000.0,216000.0,210000.0,214000.0,188080.359375,1122870
2021-11-08,0.011118907947093248,214500.0,216500.0,212500.0,215000.0,188959.25,532328
2021-11-09,0.03944329203659436,216000.0,217000.0,212000.0,213000.0,187201.5,620316
2021-11-10,0.005496017809491605,211000.0,211500.0,206500.0,208500.0,183246.515625,680033
2021-11-11,-0.35655936505645514,205500.0,206500.0,203500.0,205000.0,180170.421875,710080
2021-11-12,0.8332113646756625,205000.0,209500.0,205000.0,208000.0,182807.09375,415172
2021-11-16,0.9385269805788994,208000.0,208000.0,205000.0,206500.0,181488.78125,515194
2021-11-17,0.9360608748781184,206500.0,209000.0,203000.0,207000.0,181928.203125,715192
2021-11-19,0.9873500945977867,211500.0,212500.0,208000.0,209500.0,184125.375,829314
2021-11-22,0.7068173768930137,209500.0,220000.0,207500.0,218500.0,192035.3125,1620439
2021-11-23,0.820408830375527,219000.0,219500.0,213500.0,215000.0,188959.25,818782
2021-11-24,0.9986241041915491,215500.0,216000.0,211000.0,212000.0,186322.59375,652274
2021-11-25,0.4147253601811826,212500.0,212500.0,210000.0,210000.0,184564.828125,414037
2021-11-26,0.02368962042964995,209500.0,210000.0,204000.0,205500.0,180609.875,901184
2021-11-29,0.8462567266542464,199500.0,203500.0,199500.0,200500.0,176215.484375,901640
2021-11-30,0.5672037317563081,202000.0,203500.0,194500.0,195500.0,171821.078125,1313581
2021-12-01,-0.5004583833433571,198500.0,202000.0,196500.0,201000.0,176654.9375,741594
2021-12-02,0.30936963491452235,198500.0,206000.0,198000.0,205500.0,180609.875,782923
2021-12-03,0.9939091083360836,205500.0,208000.0,204500.0,206000.0,181049.328125,514358
2021-12-06,0.3448751772909115,204500.0,208000.0,202500.0,206500.0,181488.78125,503652
2021-12-07,0.4888095805363264,206000.0,208000.0,204000.0,207500.0,182367.625,501624
2021-12-08,0.5911500197064871,210000.0,211000.0,207000.0,207500.0,182367.625,502904
2021-12-09,0.40685843308456243,207000.0,210000.0,206500.0,207000.0,181928.203125,775215
2021-12-10,0.6904431461090488,207000.0,209500.0,205500.0,207500.0,182367.625,443350
2021-12-13,0.27027633173080784,210000.0,214000.0,209000.0,209000.0,183685.953125,877690
2021-12-14,-0.0035838299081660807,208000.0,212000.0,207500.0,211000.0,185443.734375,499536
2021-12-15,-0.08337012080301065,210500.0,211500.0,208500.0,209000.0,183685.953125,436219
2021-12-16,0.8843503360258183,211500.0,212000.0,208000.0,209500.0,184125.375,457620
2021-12-17,0.3889728552196175,208500.0,211500.0,208000.0,209500.0,184125.375,623863
2021-12-20,0.2601664122194052,209000.0,209500.0,204500.0,205000.0,180170.421875,542620
2021-12-21,0.4798092337732669,206000.0,207500.0,204000.0,205000.0,180170.421875,548609
2021-12-22,0.19858773286978249,207000.0,209500.0,205500.0,206500.0,181488.78125,480545
2021-12-23,0.45638407460501185,208000.0,209000.0,207000.0,209000.0,183685.953125,372738
2021-12-28,0.20018267817795277,215000.0,215000.0,211500.0,214000.0,188080.359375,880326
2021-12-30,-0.4897983583699291,211500.0,212000.0,208500.0,209000.0,187184.734375,581448
2022-01-04,0.5771120876112642,212500.0,212500.0,208500.0,210000.0,188080.359375,499857
2022-01-05,0.3568602618955386,214000.0,217500.0,212000.0,213500.0,191215.046875,1175411
2022-01-06,0.9939610336441547,210000.0,216500.0,210000.0,214000.0,191662.828125,866582
2022-01-07,0.00796160068421159,214500.0,216500.0,213500.0,215000.0,192558.453125,577852
2022-01-10,0.16477321390993893,214000.0,215000.0,209000.0,209500.0,187632.546875,744261
2022-01-11,0.997409165443969,209500.0,211500.0,209000.0,210500.0,188528.171875,482235
2022-01-12,0.7805120199918747,211500.0,213000.0,210500.0,211500.0,189423.796875,470451
